numid,list,messageid,senderaliasid,senderalias,referenceid,recipaliasid,recipalias,datetime,subject,body,from_commit
19615,54,JIRA.12965744.1462571211000.33745.1465056899194@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.12965744.1462571211000@Atlassian.JIRA,,,2016-06-04 09:14:59-07,[jira] [Commented] (AIRFLOW-64) dags_folder not handled correctly,"
    [ https://issues.apache.org/jira/browse/AIRFLOW-64?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=15315555#comment-15315555 ] 

ASF subversion and git services commented on AIRFLOW-64:
--------------------------------------------------------

Commit d32fb8d974f85a316d0cb96d5b6fb2d3502972be in incubator-airflow''s branch refs/heads/master from [~giacomo.tag@gmail.com]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=d32fb8d ]

[AIRFLOW-64] Add note about relative DAGS_FOLDER

Closes #1474 from itajaja/patch-1.


> dags_folder not handled correctly
> ---------------------------------
>
>                 Key: AIRFLOW-64
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-64
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: cli, executor, scheduler
>    Affects Versions: Airflow 1.7.0
>         Environment: running on mac os X
> airflow.cfg:
> ```
> airflow_home = .
> dags_folder = ./dags
> ```
>            Reporter: Giacomo Tagliabe
>
> running `airflow list_dags` with the command above from a location with a `dags` subdirectory, the cli erros the following message:
> ```
> airflow.utils.AirflowException: subdir has to be part of your DAGS_FOLDER as defined in your airflow.cfg
> ```
> if I change the airflow.cfg to `dags_folder = dags`, list_dags seem to work correctly, but any other task doesn''t seem to handle the dags_folder correctly. Here is what `airflow scheduler` outputs when it tries to execute a scheduled dag:
> ```
> DAG [process_deleted_runs] could not be found in /Users/giacomo/workspace/qsi/scheduler/dags/Users/giacomo/workspace/qsi/scheduler/process_deleted_runs.py
> ```
> As you see, it seems that the absolute path (`/Users/giacomo/workspace/qsi/scheduler/`) is chained twice.



--
This message was sent by Atlassian JIRA
(v6.3.4#6332)

",t
19616,54,JIRA.12965744.1462571211000.33748.1465056959189@Atlassian.JIRA,1277,Jeremiah Lowin (JIRA),JIRA.12965744.1462571211000@Atlassian.JIRA,,,2016-06-04 09:15:59-07,[jira] [Resolved] (AIRFLOW-64) dags_folder not handled correctly,"
     [ https://issues.apache.org/jira/browse/AIRFLOW-64?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Jeremiah Lowin resolved AIRFLOW-64.
-----------------------------------
    Resolution: Fixed

Issue resolved by pull request #1474
[https://github.com/apache/incubator-airflow/pull/1474]

> dags_folder not handled correctly
> ---------------------------------
>
>                 Key: AIRFLOW-64
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-64
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: cli, executor, scheduler
>    Affects Versions: Airflow 1.7.0
>         Environment: running on mac os X
> airflow.cfg:
> ```
> airflow_home = .
> dags_folder = ./dags
> ```
>            Reporter: Giacomo Tagliabe
>
> running `airflow list_dags` with the command above from a location with a `dags` subdirectory, the cli erros the following message:
> ```
> airflow.utils.AirflowException: subdir has to be part of your DAGS_FOLDER as defined in your airflow.cfg
> ```
> if I change the airflow.cfg to `dags_folder = dags`, list_dags seem to work correctly, but any other task doesn''t seem to handle the dags_folder correctly. Here is what `airflow scheduler` outputs when it tries to execute a scheduled dag:
> ```
> DAG [process_deleted_runs] could not be found in /Users/giacomo/workspace/qsi/scheduler/dags/Users/giacomo/workspace/qsi/scheduler/process_deleted_runs.py
> ```
> As you see, it seems that the absolute path (`/Users/giacomo/workspace/qsi/scheduler/`) is chained twice.



--
This message was sent by Atlassian JIRA
(v6.3.4#6332)

",t
19617,54,JIRA.12965744.1462571211000.33825.1465060019165@Atlassian.JIRA,1273,Chris Riccomini (JIRA),JIRA.12965744.1462571211000@Atlassian.JIRA,,,2016-06-04 10:06:59-07,[jira] [Updated] (AIRFLOW-64) dags_folder not handled correctly,"
     [ https://issues.apache.org/jira/browse/AIRFLOW-64?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Chris Riccomini updated AIRFLOW-64:
-----------------------------------
    Assignee: Giacomo Tagliabe

> dags_folder not handled correctly
> ---------------------------------
>
>                 Key: AIRFLOW-64
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-64
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: cli, executor, scheduler
>    Affects Versions: Airflow 1.7.0
>         Environment: running on mac os X
> airflow.cfg:
> ```
> airflow_home = .
> dags_folder = ./dags
> ```
>            Reporter: Giacomo Tagliabe
>            Assignee: Giacomo Tagliabe
>
> running `airflow list_dags` with the command above from a location with a `dags` subdirectory, the cli erros the following message:
> ```
> airflow.utils.AirflowException: subdir has to be part of your DAGS_FOLDER as defined in your airflow.cfg
> ```
> if I change the airflow.cfg to `dags_folder = dags`, list_dags seem to work correctly, but any other task doesn''t seem to handle the dags_folder correctly. Here is what `airflow scheduler` outputs when it tries to execute a scheduled dag:
> ```
> DAG [process_deleted_runs] could not be found in /Users/giacomo/workspace/qsi/scheduler/dags/Users/giacomo/workspace/qsi/scheduler/process_deleted_runs.py
> ```
> As you see, it seems that the absolute path (`/Users/giacomo/workspace/qsi/scheduler/`) is chained twice.



--
This message was sent by Atlassian JIRA
(v6.3.4#6332)

",t
19618,54,JIRA.12975651.1464993953000.33830.1465060199183@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.12975651.1464993953000@Atlassian.JIRA,,,2016-06-04 10:09:59-07,"[jira] [Commented] (AIRFLOW-211) Fix bug when PR tool tries to
 ""close"" an issue instead of ""resolving"" it","
    [ https://issues.apache.org/jira/browse/AIRFLOW-211?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=15315573#comment-15315573 ] 

ASF subversion and git services commented on AIRFLOW-211:
---------------------------------------------------------

Commit c78101eaa1154c266e6b4d970916a8d36b563343 in incubator-airflow''s branch refs/heads/master from jlowin
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=c78101e ]

[AIRFLOW-211] Fix JIRA ""resolve"" vs ""close"" behavior

Closes #1571 from jlowin/pr-tool-8.


> Fix bug when PR tool tries to ""close"" an issue instead of ""resolving"" it
> ------------------------------------------------------------------------
>
>                 Key: AIRFLOW-211
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-211
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: PR tool
>            Reporter: Jeremiah Lowin
>            Assignee: Jeremiah Lowin
>            Priority: Minor
>
> Inadvertently introduced an issue when fixing AIRFLOW-207: ""closing"" an issue (as opposed to ""resolving"" it) sometimes causes a crash. 
> I don''t know why closing doesn''t work; it claims that the provided fields are invalid, but they are valid (fix-version, resolution). Let''s just go back to the old behavior: ""resolving"" rather than ""closing"".



--
This message was sent by Atlassian JIRA
(v6.3.4#6332)

",t
666938,23,CA+tQj+V184OvSNZOJUpoSZ_knEEvKi0zcU6o8TUsFnaXe9PK5g@mail.gmail.com,25072,slack-milagro-dev-apache,NULL,,,2016-05-27 05:15:05-07,Re: [FROM MILAGRO''S SLACK],"NOTE: ALL CHAT IN THIS CHANNEL is sent to the
[url=dev@milagro.incubating.apache.org]dev@milagro.incubating.apache.org[/url]
mail list. If you want to have a private chat, please do so in a one
on one message.

@brian pinned a message to this channel.

@brian set the channel topic: The CHAT version of
[url=dev@milagro.incubating.apache.org]dev@milagro.incubating.apache.org[/url]
using Slack. ALL CHAT IS SENT TO
[url=dev@milagro.incubating.apache.org]dev@milagro.incubating.apache.org[/url]
.

@brian set the channel topic: ALL CHAT IN GENERAL IS SENT TO
[url=dev@milagro.incubating.apache.org]dev@milagro.incubating.apache.org[/url]
.

| By Brian Spector

NOTE: ALL CHAT IN THIS CHANNEL is sent to the
[url=dev@milagro.incubating.apache.org]dev@milagro.incubating.apache.org[/url]
mail list. If you want to have a private chat, please do so in a one
on one message.

",f
26606,54,JIRA.13109826.1508195516000.119.1508351460605@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13109826.1508195516000@Atlassian.JIRA,,,2017-10-18 11:31:00-07,"[jira] [Commented] (AIRFLOW-1718) Increase num_retries polling
 value on Dataproc hook","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1718?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16209792#comment-16209792 ] 

ASF subversion and git services commented on AIRFLOW-1718:
----------------------------------------------------------

Commit 6078e753aac35aa4f5971a719d9f736c35396770 in incubator-airflow''s branch refs/heads/master from [~cjqian]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=6078e75 ]

[AIRFLOW-1718] Set num_retries on Dataproc job request execution

Closes #2696 from cjqian/1718


> Increase num_retries polling value on Dataproc hook
> ---------------------------------------------------
>
>                 Key: AIRFLOW-1718
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1718
>             Project: Apache Airflow
>          Issue Type: Bug
>            Reporter: Crystal Qian
>            Assignee: Crystal Qian
>            Priority: Minor
>   Original Estimate: 24h
>  Remaining Estimate: 24h
>
> Currently, `num_retries = 0` when execute() is called (https://google.github.io/google-api-python-client/docs/epy/googleapiclient.http.HttpRequest-class.html#execute), which causes intermittent 500 errors (https://stackoverflow.com/questions/46522261/deadline-exceeded-when-airflow-runs-spark-jobs). We should increase this to allow retries for internal Dataproc queries to other services in the short-term; also seeing if the `num_retries` count can be increased at the _google-api-python-client_ level in the long-term.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26607,54,JIRA.13109826.1508195516000.134.1508351580585@Atlassian.JIRA,1273,Chris Riccomini (JIRA),JIRA.13109826.1508195516000@Atlassian.JIRA,,,2017-10-18 11:33:00-07,"[jira] [Resolved] (AIRFLOW-1718) Increase num_retries polling value
 on Dataproc hook","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1718?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Chris Riccomini resolved AIRFLOW-1718.
--------------------------------------
       Resolution: Fixed
    Fix Version/s: 1.10.0

> Increase num_retries polling value on Dataproc hook
> ---------------------------------------------------
>
>                 Key: AIRFLOW-1718
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1718
>             Project: Apache Airflow
>          Issue Type: Bug
>            Reporter: Crystal Qian
>            Assignee: Crystal Qian
>            Priority: Minor
>             Fix For: 1.10.0
>
>   Original Estimate: 24h
>  Remaining Estimate: 24h
>
> Currently, `num_retries = 0` when execute() is called (https://google.github.io/google-api-python-client/docs/epy/googleapiclient.http.HttpRequest-class.html#execute), which causes intermittent 500 errors (https://stackoverflow.com/questions/46522261/deadline-exceeded-when-airflow-runs-spark-jobs). We should increase this to allow retries for internal Dataproc queries to other services in the short-term; also seeing if the `num_retries` count can be increased at the _google-api-python-client_ level in the long-term.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26608,54,JIRA.13094153.1502471732000.284.1508352420413@Atlassian.JIRA,1273,Chris Riccomini (JIRA),JIRA.13094153.1502471732000@Atlassian.JIRA,,,2017-10-18 11:47:00-07,"[jira] [Resolved] (AIRFLOW-1506) Improve
 DataprocClusterCreateOperator","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1506?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Chris Riccomini resolved AIRFLOW-1506.
--------------------------------------
    Resolution: Duplicate

> Improve DataprocClusterCreateOperator
> -------------------------------------
>
>                 Key: AIRFLOW-1506
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1506
>             Project: Apache Airflow
>          Issue Type: Improvement
>          Components: contrib, operators
>            Reporter: Yu Ishikawa
>            Assignee: Jessica Chen Fan 
>
> h2. Goals
> {{DataprocClusterCreateOperator}} should support {{$. gceClusterConfig.serviceAccountScopes}} to specify scopes for a Dataproc cluster.
> For example, I guess some users would like to store the result to Google Datastore and like this. In such a case, we have to put additional scopes to access to the produces from the Dataproc cluster.
> https://cloud.google.com/dataproc/docs/reference/rest/v1/projects.regions.clusters#gceclusterconfig



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26609,54,JIRA.13110016.1508253770000.587.1508354880513@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13110016.1508253770000@Atlassian.JIRA,,,2017-10-18 12:28:00-07,[jira] [Commented] (AIRFLOW-1723) Support sendgrid in email backend,"
    [ https://issues.apache.org/jira/browse/AIRFLOW-1723?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16209874#comment-16209874 ] 

ASF subversion and git services commented on AIRFLOW-1723:
----------------------------------------------------------

Commit 7cb818bbacb2a2695282471591a9e323d8efbf5c in incubator-airflow''s branch refs/heads/master from [~fenglu]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=7cb818b ]

[AIRFLOW-1723] Support sendgrid in email backend

Closes #2695 from fenglu-g/master


> Support sendgrid in email backend 
> ----------------------------------
>
>                 Key: AIRFLOW-1723
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1723
>             Project: Apache Airflow
>          Issue Type: New Feature
>          Components: utils
>    Affects Versions: 1.9.0
>            Reporter: Feng Lu
>            Assignee: Feng Lu
>            Priority: Minor
>             Fix For: 1.10.0
>
>
> Current airflow email backend only supports SMTP, this PR aims to extend email backend and integrate with sendgrid. The airflow config file is also updated to include a [sendgrid] section where user can specify api_key and mail_from. 



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26610,54,JIRA.13110016.1508253770000.591.1508354880588@Atlassian.JIRA,1273,Chris Riccomini (JIRA),JIRA.13110016.1508253770000@Atlassian.JIRA,,,2017-10-18 12:28:00-07,[jira] [Resolved] (AIRFLOW-1723) Support sendgrid in email backend,"
     [ https://issues.apache.org/jira/browse/AIRFLOW-1723?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Chris Riccomini resolved AIRFLOW-1723.
--------------------------------------
       Resolution: Fixed
    Fix Version/s: 1.10.0

> Support sendgrid in email backend 
> ----------------------------------
>
>                 Key: AIRFLOW-1723
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1723
>             Project: Apache Airflow
>          Issue Type: New Feature
>          Components: utils
>    Affects Versions: 1.9.0
>            Reporter: Feng Lu
>            Assignee: Feng Lu
>            Priority: Minor
>             Fix For: 1.10.0
>
>
> Current airflow email backend only supports SMTP, this PR aims to extend email backend and integrate with sendgrid. The airflow config file is also updated to include a [sendgrid] section where user can specify api_key and mail_from. 



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
