Project Names,Status,Mean Time Between Comments(hours),Median Time Between Comments(hours),90th Percentile Time Between Comments(hours)
Accumulo,graduated,6.74,0.69,16.42
ActiveMQ,graduated,65.35,2.67,123.38
activemq-apollo,graduated,3568.49,98.04,7888.03
Airavata,graduated,264.14,18.08,647.2
Airflow,graduated,1.37,0.39,3.44
Allura,graduated,6856.83,5456.45,15109.24
Ambari,graduated,9.96,0.59,8.44
ant-ivy,graduated,334.09,2.29,239.24
Any23,graduated,159.97,4.19,426.94
apex-core,graduated,18.67,2.21,33.99
Aries,graduated,223.23,0.92,572.1
AsterixDB,graduated,3572.12,1297.24,7609.69
Atlas,graduated,167.55,12.59,481.8
Aurora,graduated,414.88,24.44,965.03
Beam,graduated,0.57,0.13,1.2
Bigtop,graduated,31.05,3.44,67.85
Brooklyn,graduated,1131.93,18.77,2404.69
Buildr,graduated,1605.15,10.8,3767.64
bval,graduated,893.67,109.95,1232.19
Calcite,graduated,10.24,2.0,20.89
CarbonData,graduated,0.56,0.11,0.83
Cassandra,graduated,36.77,3.47,67.54
Cayenne,graduated,251.59,23.63,661.28
Celix,graduated,65.44,5.93,118.92
Chukwa,graduated,3705.55,252.42,11462.37
Clerezza,graduated,5746.1,216.44,16811.05
climate,graduated,25.91,0.08,31.14
CloudStack,graduated,1.33,0.13,2.03
commons-ognl,graduated,751.27,81.36,2962.86
Cordova,graduated,64.82,4.47,163.47
CouchDB,graduated,8.78,1.05,18.36
creadur-rat,graduated,183.28,6.1,216.0
Crunch,graduated,2672.88,551.69,8289.51
cTAKES,graduated,503.07,0.84,1427.14
Curator,graduated,19.19,0.53,47.77
CXF,graduated,38.97,4.67,106.46
DataFu,graduated,1509.8,55.0,1652.77
db-jdo,graduated,584.07,101.26,1442.09
Deltacloud,graduated,2220.26,38.39,6576.71
DeltaSpike,graduated,335.48,10.2,880.08
Derby,graduated,46.29,0.0,0.0
DirectMemory,graduated,1727.25,2176.85,2579.2
directory-server,graduated,357.91,6.89,678.23
DistributedLog,graduated,47.87,1.17,64.38
Drill,graduated,11.93,1.9,22.72
Dubbo,graduated,3.03,0.34,5.47
Eagle,graduated,32.7,1.88,45.31
Empire-db,graduated,2213.22,7.23,111.06
ESME,graduated,4022.31,4022.31,6164.68
Falcon,graduated,39.48,1.6,32.54
Felix,graduated,317.33,42.7,931.52
Fineract,graduated,12.98,0.94,29.96
flex-sdk,graduated,1608.23,63.19,5342.93
Flink,graduated,1.37,0.28,3.09
Flume,graduated,111.02,7.09,217.29
Fluo,graduated,59.41,1.73,77.1
FreeMarker,graduated,247.27,9.73,656.66
FtpServer,graduated,20320.97,9974.17,42784.73
Geode,graduated,11.42,1.74,19.54
Geronimo,graduated,7911.42,2077.25,21000.66
Giraph,graduated,792.26,96.4,1458.21
Gora,graduated,137.83,4.42,252.14
Griffin,graduated,93.52,10.58,245.95
Groovy,graduated,22.07,4.56,59.98
guacamole-client,graduated,31.65,4.41,89.73
Hama,graduated,10615.37,10615.37,18040.91
HAWQ,graduated,17.97,0.9,20.45
Helix,graduated,16.53,2.2,25.08
Ignite,graduated,18.82,0.34,54.76
Impala,graduated,977.95,266.34,1959.8
incubator-Amaterasu,incubating,554.97,201.23,1567.02
incubator-Annotator,incubating,184.22,3.45,479.51
incubator-ariatosca,retired,62.58,14.65,127.81
incubator-BatchEE,incubating,12394.24,2280.89,34108.08
incubator-BRPC,incubating,8.05,1.37,21.94
incubator-Crail,incubating,415.88,2.86,664.2
