Repository Name,Status,Number of PRs,Average First Response Time (hours),Median First Response Time (hours)
abdera,graduated,1,1441.40,1441.40
accumulo,graduated,2198,155.38,3.54
activemq,graduated,554,1506.41,13.15
activemq-apollo,graduated,9,14408.50,21.77
airavata,graduated,157,636.39,22.81
airflow,graduated,5872,72.90,0.83
allura,graduated,6,639.31,61.10
ambari,graduated,3442,184.58,0.87
ant-ivy,graduated,64,735.71,18.65
any23,graduated,143,389.61,42.53
apex-core,graduated,412,123.91,5.32
aries,graduated,239,3020.32,336.01
asterixdb,graduated,12,863.17,956.69
atlas,graduated,170,3945.13,689.16
aurora,graduated,46,678.74,10.08
beam,graduated,4528,15.94,0.12
bigtop,graduated,834,282.27,6.39
brooklyn,graduated,26,181.59,11.18
buildr,graduated,32,2601.08,4.98
bval,graduated,40,1154.24,288.30
calcite,graduated,2650,389.83,19.81
carbondata,graduated,2293,15.21,0.25
cassandra,graduated,1446,1460.87,71.77
cayenne,graduated,163,1024.28,21.53
celix,graduated,357,23.33,0.19
chukwa,graduated,4,2697.50,29.66
clerezza,graduated,8,19956.79,3875.82
climate,graduated,427,25.83,0.02
cloudstack,graduated,2453,107.31,0.84
commons-ognl,graduated,39,519.09,239.95
cordova,graduated,9,424.66,0.30
couchdb,graduated,1803,323.56,3.97
creadur-rat,graduated,167,616.40,23.57
crunch,graduated,16,1578.42,28.05
ctakes,graduated,11,8946.63,13987.58
curator,graduated,394,1853.50,30.12
cxf,graduated,795,220.21,13.01
datafu,graduated,22,473.70,44.74
db-jdo,graduated,61,139.97,0.20
deltacloud,graduated,3,6005.93,174.48
deltaspike,graduated,98,1005.61,72.85
derby,graduated,31,807.90,88.29
directmemory,graduated,6,1888.98,773.28
directory-server,graduated,116,438.67,167.43
distributedlog,graduated,152,105.33,0.66
drill,graduated,2195,577.83,15.80
dubbo,graduated,4899,153.16,0.74
eagle,graduated,569,116.29,3.90
empire-db,graduated,7,13369.51,17712.38
esme,graduated,3,2728.22,1344.36
falcon,graduated,343,215.53,7.12
felix,graduated,91,389.69,17.51
fineract,graduated,1753,349.94,14.16
flex-sdk,graduated,18,1412.25,272.94
flink,graduated,6826,120.78,16.41
flume,graduated,298,3408.57,123.65
fluo,graduated,288,82.58,12.03
freemarker,graduated,67,1253.29,15.62
ftpserver,graduated,3,1245.01,16.80
geode,graduated,3171,114.82,14.20
geronimo,graduated,7,3793.72,3718.27
giraph,graduated,43,1421.81,65.74
gora,graduated,188,937.28,22.98
griffin,graduated,218,494.62,40.71
groovy,graduated,1528,179.45,10.91
guacamole-client,graduated,548,578.96,8.11
hama,graduated,3,10.75,5.99
hawq,graduated,1369,42.85,0.39
helix,graduated,1285,218.66,29.89
ignite,graduated,2521,6430.48,795.49
impala,graduated,45,2874.66,12.41
incubator-amaterasu,incubating,17,306.28,100.18
incubator-annotator,incubating,48,1752.97,68.54
incubator-ariatosca,retired,162,8.46,0.00
incubator-batchee,incubating,6,6418.90,4170.43
incubator-brpc,incubating,552,451.64,25.56
incubator-crail,incubating,29,372.73,25.41
incubator-daffodil,incubating,634,302.01,18.66
incubator-dlab,incubating,32,1056.97,96.98
incubator-dolphinscheduler,incubating,5023,228.46,0.30
incubator-doris,incubating,7618,92.67,2.82
incubator-druid,incubating,4061,177.93,4.54
incubator-echarts,incubating,373,1271.57,2.10
incubator-edgent,incubating,103,84.51,2.01
incubator-flagon,incubating,14,1518.19,823.04
incubator-gobblin,incubating,2835,62.47,0.44
incubator-heron,incubating,1763,106.58,1.90
