Repository Name,Status,Number of PRs,Average Time to Merge (hours),Median Merge Time (hours)
Accumulo,graduated,2914,184.76,26.7
ActiveMQ,graduated,907,856.73,39.26
activemq-apollo,graduated,1,29.95,29.95
Airavata,graduated,282,182.04,1.95
Airflow,graduated,24373,153.06,13.69
Allura,graduated,3,1880.85,2716.26
Ambari,graduated,3375,151.42,17.56
ant-easyant-core,graduated,2,312.47,312.47
ant-ivy,graduated,33,185.87,22.21
Any23,graduated,260,193.98,21.08
apex-core,graduated,470,279.09,42.0
Aries,graduated,173,764.55,0.66
Atlas,graduated,45,1184.23,169.72
Aurora,graduated,40,238.01,32.66
Beam,graduated,18927,189.71,41.32
Bigtop,graduated,740,208.69,48.64
Brooklyn,graduated,46,250.66,3.59
Buildr,graduated,34,32.73,5.57
bval,graduated,146,194.07,0.79
Calcite,graduated,1454,510.55,91.82
CarbonData,graduated,212,304.5,7.5
Cassandra,graduated,127,353.84,110.8
Cayenne,graduated,446,334.26,48.33
Celix,graduated,451,233.5,30.69
Chukwa,graduated,2,55.14,55.14
Clerezza,graduated,6,513.56,192.47
climate,graduated,451,152.9,21.46
CloudStack,graduated,5225,948.47,167.57
commons-ognl,graduated,119,532.76,2.19
Cordova,graduated,29,699.78,1.27
CouchDB,graduated,2663,187.16,7.12
creadur-rat,graduated,372,225.59,54.26
Crunch,graduated,12,708.18,110.92
cTAKES,graduated,4,56.18,57.55
Curator,graduated,333,944.75,144.47
CXF,graduated,1623,138.61,12.72
DataFu,graduated,23,594.18,165.13
db-jdo,graduated,87,258.78,97.96
DeltaSpike,graduated,71,771.19,44.96
directory-server,graduated,180,329.45,21.35
DistributedLog,graduated,5,69.53,30.82
Drill,graduated,1001,328.84,43.73
Dubbo,graduated,5557,234.74,27.31
Eagle,graduated,22,52.51,10.54
Empire-db,graduated,7,4611.77,184.71
Fineract,graduated,3292,166.08,21.83
flex-sdk,graduated,9,3948.11,176.5
Flink,graduated,9949,332.91,64.4
Flume,graduated,61,1116.87,165.78
Fluo,graduated,506,101.29,19.18
FreeMarker,graduated,77,1087.55,39.63
Geode,graduated,5694,129.13,40.36
Gora,graduated,203,968.34,63.01
Griffin,graduated,38,597.0,238.86
Groovy,graduated,991,145.88,27.38
guacamole-client,graduated,824,735.89,16.8
Hama,graduated,13,83.74,25.12
HAWQ,graduated,383,70.46,1.23
Helix,graduated,1499,228.35,62.22
Ignite,graduated,2322,344.27,52.14
incubator-Amaterasu,incubating,47,190.87,74.84
incubator-Annotator,incubating,58,462.23,39.75
incubator-ariatosca,retired,170,84.03,20.57
incubator-BRPC,incubating,855,512.53,67.78
incubator-Crail,incubating,56,143.84,2.99
incubator-Daffodil,incubating,1236,172.65,48.66
incubator-DataSketches,incubating,1,0.1,0.1
incubator-DLab,incubating,1672,26.35,0.03
incubator-DolphinScheduler,incubating,6642,97.36,10.24
incubator-Doris,incubating,32828,91.91,23.77
incubator-Druid,incubating,10571,246.99,36.88
incubator-ECharts,incubating,1352,296.84,10.16
incubator-Edgent,incubating,324,54.41,3.47
