listid,listname,matched_repo
49,abdera,abdera
50,accumulo,accumulo
51,ace,ace
52,activemq,activemq
253,agila,
53,airavata,airavata
54,airflow,airflow
55,allura,allura
254,alois,
255,altrmi,
1,amaterasu,amaterasu
56,ambari,ambari
57,amber,
2,annotator,annotator
58,any23,any23
59,apex,apex-core
60,apollo,activemq-apollo
256,ariatosca,ariatosca
61,aries,aries
62,asterixdb,asterixdb
63,atlas,atlas
64,aurora,aurora
257,awf,
258,axion,
3,batchee,batchee
65,beam,beam
66,bean validation,bval
67,beehive,
68,bigtop,bigtop
69,bloodhound,bloodhound
259,bluesky,
260,blur,blur
70,brooklyn,brooklyn
4,brpc,brpc
71,buildr,buildr
72,calcite,calcite
73,carbondata,carbondata
74,cassandra,cassandra
75,cayenne,cayenne
76,celix,celix
77,chemistry,
78,chukwa,chukwa
79,clerezza,clerezza
80,click,
261,climate model diagnostic analyzer,
81,cloudstack,cloudstack
82,commonsrdf,
262,composer,openwhisk-composer
263,concerted,concerted
83,cordova,cordova
264,corinthia,
265,cotton,
84,couchdb,couchdb
5,crail,crail
85,crunch,crunch
86,ctakes,ctakes
87,curator,curator
88,cxf,cxf
6,daffodil,daffodil
89,datafu,datafu
7,datasketches,datasketches
90,deltacloud,deltacloud
91,deltaspike,deltaspike
266,depot,
92,derby,derby
93,devicemap,
94,directmemory,directmemory
95,directory,directory-server
96,distributedlog,distributedlog
8,dlab,dlab
9,dolphinscheduler,dolphinscheduler
10,doris,doris
97,drill,drill
267,droids,
11,druid,druid
98,dubbo,dubbo
99,eagle,eagle
100,easyant,ant-easyant-core
12,echarts,echarts
13,edgent,edgent
101,empire-db,empire-db
102,esme,esme
103,etch,
104,falcon,falcon
105,felix,felix
106,fineract,fineract
14,flagon,flagon
107,flex,flex-sdk
108,flink,flink
109,flume,flume
110,fluo,fluo
111,freemarker,freemarker
112,ftpserver,ftpserver
268,gearpump,gearpump
113,geode,geode
114,geronimo,geronimo
115,giraph,giraph
15,gobblin,gobblin
116,gora,gora
269,gossip,
270,graffito,
117,griffin,griffin
118,groovy,groovy
119,guacamole,guacamole-client
271,hadoop development tools (hdt),hdt
120,hama,hama
121,harmony,
122,hawq,hawq
123,hcatalog,hcatalog
124,helix,helix
272,heraldry,
125,hermes,
16,heron,heron
273,hise,
17,hivemall,hivemall
274,horn,horn
275,htrace,htrace
126,httpd-cli,
18,hudi,hudi
127,ibatis,
19,iceberg,iceberg
128,ignite,ignite
129,impala,impala
276,imperius,
277,iota,iota
20,iotdb,iotdb
130,isis,isis
131,ivy,ant-ivy
132,jackrabbit,jackrabbit
133,jaxme,
134,jclouds,jclouds
135,jdo,db-jdo
136,jena,jena
137,johnzon,johnzon
138,joshua,joshua
139,jspwiki,jspwiki
140,juddi,juddi
278,juice,
141,juneau,juneau
279,kabuki,
142,kafka,kafka
280,kalumet,kalumet
281,kato,
282,kitty,
143,knox,knox
144,kudu,kudu
145,kylin,kylin
146,lens,lens
147,lenya,lenya
148,libcloud,libcloud
21,livy,livy
149,log4cxx,logging-log4cxx
150,log4cxx2,
151,log4net,
152,log4php,logging-log4php
283,lokahi,
153,lucene.net,lucene.net
284,lucene4c,
154,lucy,lucy
155,madlib,madlib
156,manifoldcf,manifoldcf
157,marmotta,marmotta
22,marvin-ai,marvin
158,merlindeveloper,
159,mesos,mesos
160,metamodel,metamodel
161,metron,metron
23,milagro,milagro
162,mnemonic,mnemonic
163,mod_ftp,
285,mrql,mrql
164,mrunit,mrunit
165,muse,
24,mxnet,mxnet
166,myfaces,myfaces
167,mynewt,mynewt-core
25,myriad,myriad
26,nemo,nemo
168,netbeans,netbeans
169,nifi,nifi
286,nmaven,
287,npanday,npanday
170,nutch,nutch
171,nuvem,nuvem
172,ode,ode
288,odf toolkit,odftoolkit
173,ofbiz,ofbiz
174,ognl,commons-ognl
175,olingo,olingo-odata4
289,olio,
27,omid,omid
176,onami,
177,oodt,oodt
178,oozie,oozie
179,open climate workbench,climate
290,openaz,openaz
180,openejb,openejb
181,openjpa,openjpa
182,openmeetings,openmeetings
183,opennlp,opennlp
184,openoffice.org,openoffice
185,openwebbeans,openwebbeans
186,openwhisk,openwhisk
28,pagespeed,pagespeed-ngx
187,parquet,parquet-java
188,pdfbox,pdfbox
189,phoenix,phoenix
291,photark,photark
190,pig,pig
29,pinot,pinot
292,pirk,pirk
191,pivot,
192,plc4x,plc4x
193,pluto,pluto
30,pony mail,ponymail
194,predictionio,predictionio
293,provisionr,
195,pulsar,pulsar
196,qpid,qpid
294,quickstep,quickstep
197,ranger,ranger
198,rat,creadur-rat
31,ratis,ratis
199,rave,rave
295,rcf,
200,reef,reef
296,ripple,ripple
201,river,
202,rocketmq,rocketmq
203,roller,roller
32,rya,rya
33,s2graph,s2graph
297,s4,s4
34,samoa,samoa
204,samza,samza
205,sanselan,sanselan
35,sdap,
206,sentry,sentry
207,servicecomb,servicecomb-java-chassis
208,servicemix,servicemix
36,shardingsphere,shardingsphere
209,shindig,shindig
210,shiro,shiro
37,singa,singa
298,sirona,sirona
211,sis,sis
212,skywalking,skywalking
299,slider,slider
213,sling,sling
300,socialsite,
214,solr,solr
215,spamassassin,spamassassin
216,spark,spark
38,spot,spot
217,sqoop,sqoop
218,stanbol,stanbol
219,stdcxx,
301,stonehenge,
220,storm,storm
221,stratos,stratos
222,streams,streams
223,subversion,subversion
39,superset,superset
224,synapse,synapse
225,syncope,syncope
226,systemml,systemml
227,tajo,tajo
40,tamaya,tamaya
228,tapestry,tapestry-5
302,tashi,tashi
41,taverna,taverna-engine
42,tephra,tephra
229,tez,tez
230,thrift,thrift
231,tika,tika
232,tinkerpop,tinkerpop
233,tobago,myfaces-tobago
43,toree,toree
234,traffic control,trafficcontrol
235,traffic server,trafficserver
236,trafodion,trafodion
44,training,training
237,trinidad,
303,triplesoup,
304,tsik,
238,tuscany,tuscany-sca-2.x
45,tuweni,tuweni
46,tvm,tvm
239,twill,twill
240,uima,uima-uimaj
241,unomi,unomi
242,usergrid,usergrid
243,vcl,vcl
244,vxquery,vxquery
305,wadi,
47,warble,
306,wave,wave
245,webwork 2,
48,weex,weex
246,whirr,whirr
247,wicket,wicket
248,wink,wink
249,woden,
250,wookie,wookie
307,wsrp4j,
308,xap,
251,xmlbeans,xmlbeans
309,xmlbeans/c++,
310,yoko,geronimo-yoko
252,zeppelin,zeppelin
311,zeta components,zetacomponents
312,zipkin,zipkin
