Project Name,List Id,Project State,Number of Users,Total PRs,Merged PRs,Closed PRs,Unresolved PRs,PR Merge %,PR Reject %,Merge to Reject Ratio
Abdera,49,1,3,4,0,1,3,0.00,25.00,0.0
Accumulo,50,1,153,3582,2914,607,61,81.35,16.95,4.800658978583196
ACE,51,1,5,16,0,12,4,0.00,75.00,0.0
ActiveMQ,52,1,244,1383,907,432,44,65.58,31.24,2.099537037037037
activemq-apollo,60,1,8,10,1,9,0,10.00,90.00,0.1111111111111111
Airavata,53,1,66,449,282,83,84,62.81,18.49,3.397590361445783
Airflow,54,1,4404,31065,24373,6554,138,78.46,21.10,3.718797680805615
Allura,55,1,5,8,3,5,0,37.50,62.50,0.6
Ambari,56,1,272,3917,3375,428,114,86.16,10.93,7.885514018691588
ant-easyant-core,100,1,1,3,2,1,0,66.67,33.33,2.0
ant-ivy,131,1,29,92,33,48,11,35.87,52.17,0.6875
Any23,58,1,30,322,260,50,12,80.75,15.53,5.2
apex-core,59,1,52,606,470,134,2,77.56,22.11,3.5074626865671643
Aries,61,1,66,438,173,245,20,39.50,55.94,0.7061224489795919
AsterixDB,62,1,16,36,0,23,13,0.00,63.89,0.0
Atlas,63,1,129,280,45,164,71,16.07,58.57,0.27439024390243905
Aurora,64,1,33,71,40,26,5,56.34,36.62,1.5384615384615385
Beam,65,1,1446,26496,18927,7484,85,71.43,28.25,2.528995189738108
Bigtop,68,1,136,1310,740,367,203,56.49,28.02,2.016348773841962
Bloodhound,69,1,2,3,0,1,2,0.00,33.33,0.0
Brooklyn,70,1,18,54,46,8,0,85.19,14.81,5.75
Buildr,71,1,18,52,34,14,4,65.38,26.92,2.4285714285714284
bval,66,1,9,179,146,32,1,81.56,17.88,4.5625
Calcite,72,1,604,4185,1454,2417,314,34.74,57.75,0.6015721969383533
CarbonData,73,1,210,4308,212,3985,111,4.92,92.50,0.053199498117942286
Cassandra,74,1,493,3877,127,3117,633,3.28,80.40,0.04074430542188001
Cayenne,75,1,57,622,446,146,30,71.70,23.47,3.0547945205479454
Celix,76,1,33,511,451,53,7,88.26,10.37,8.50943396226415
Chukwa,78,1,6,10,2,5,3,20.00,50.00,0.4
Clerezza,79,1,9,22,6,15,1,27.27,68.18,0.4
climate,179,1,31,532,451,76,5,84.77,14.29,5.934210526315789
CloudStack,81,1,396,7137,5225,1756,156,73.21,24.60,2.975512528473804
commons-ognl,174,1,6,152,119,33,0,78.29,21.71,3.606060606060606
Cordova,83,1,8,32,29,3,0,90.62,9.38,9.666666666666666
CouchDB,84,1,229,3391,2663,690,38,78.53,20.35,3.8594202898550725
creadur-rat,198,1,28,444,372,67,5,83.78,15.09,5.552238805970149
Crunch,85,1,16,30,12,14,4,40.00,46.67,0.8571428571428571
cTAKES,86,1,5,17,4,9,4,23.53,52.94,0.4444444444444444
Curator,87,1,186,521,333,184,4,63.92,35.32,1.809782608695652
CXF,88,1,361,2257,1623,574,60,71.91,25.43,2.827526132404181
DataFu,89,1,15,40,23,14,3,57.50,35.00,1.6428571428571428
db-jdo,135,1,9,102,87,13,2,85.29,12.75,6.6923076923076925
Deltacloud,90,1,6,7,0,4,3,0.00,57.14,0.0
DeltaSpike,91,1,56,159,71,84,4,44.65,52.83,0.8452380952380952
Derby,92,1,8,37,0,30,7,0.00,81.08,0.0
DirectMemory,94,1,5,19,0,7,12,0.00,36.84,0.0
directory-server,95,1,25,271,180,80,11,66.42,29.52,2.25
DistributedLog,96,1,21,200,5,179,16,2.50,89.50,0.027932960893854747
