Project Name,List Id,Project State,Total PRs (normalized),Merged PRs (normalized),Closed PRs (normalized),Unresolved PRs (normalized),Total Active Devs
Abdera,49,1,1.33,0.0,0.33,1.0,3
Accumulo,50,1,17.22,14.01,2.92,0.29,208
ACE,51,1,3.2,0.0,2.4,0.8,5
ActiveMQ,52,1,4.84,3.17,1.51,0.15,286
activemq-apollo,60,1,1.0,0.1,0.9,0.0,10
Airavata,53,1,6.51,4.09,1.2,1.22,69
Airflow,54,1,6.35,4.98,1.34,0.03,4890
Allura,55,1,1.6,0.6,1.0,0.0,5
Ambari,56,1,12.05,10.38,1.32,0.35,325
ant-easyant-core,100,1,3.0,2.0,1.0,0.0,1
ant-ivy,131,1,2.49,0.89,1.3,0.3,37
Any23,58,1,9.47,7.65,1.47,0.35,34
apex-core,59,1,10.45,8.1,2.31,0.03,58
Aries,61,1,5.54,2.19,3.1,0.25,79
AsterixDB,62,1,2.12,0.0,1.35,0.76,17
Atlas,63,1,1.84,0.3,1.08,0.47,152
Aurora,64,1,1.61,0.91,0.59,0.11,44
Beam,65,1,17.75,12.68,5.01,0.06,1493
Bigtop,68,1,7.49,4.23,2.1,1.16,175
Bloodhound,69,1,3.0,0.0,1.0,2.0,1
Brooklyn,70,1,2.45,2.09,0.36,0.0,22
Buildr,71,1,2.48,1.62,0.67,0.19,21
bval,66,1,17.9,14.6,3.2,0.1,10
Calcite,72,1,6.53,2.27,3.77,0.49,641
CarbonData,73,1,19.58,0.96,18.11,0.5,220
Cassandra,74,1,7.37,0.24,5.93,1.2,526
Cayenne,75,1,10.03,7.19,2.35,0.48,62
Celix,76,1,10.87,9.6,1.13,0.15,47
Chukwa,78,1,1.43,0.29,0.71,0.43,7
Clerezza,79,1,2.44,0.67,1.67,0.11,9
climate,179,1,15.2,12.89,2.17,0.14,35
CloudStack,81,1,15.48,11.33,3.81,0.34,461
commons-ognl,174,1,19.0,14.88,4.12,0.0,8
Cordova,83,1,0.22,0.2,0.02,0.0,144
CouchDB,84,1,3.13,2.46,0.64,0.04,1082
creadur-rat,198,1,14.32,12.0,2.16,0.16,31
Crunch,85,1,1.88,0.75,0.88,0.25,16
cTAKES,86,1,2.43,0.57,1.29,0.57,7
Curator,87,1,2.18,1.39,0.77,0.02,239
CXF,88,1,5.83,4.19,1.48,0.16,387
DataFu,89,1,2.67,1.53,0.93,0.2,15
db-jdo,135,1,12.75,10.88,1.62,0.25,8
Deltacloud,90,1,1.0,0.0,0.57,0.43,7
DeltaSpike,91,1,2.56,1.15,1.35,0.06,62
Derby,92,1,4.62,0.0,3.75,0.88,8
DirectMemory,94,1,4.75,0.0,1.75,3.0,4
directory-server,95,1,9.34,6.21,2.76,0.38,29
DistributedLog,96,1,6.25,0.16,5.59,0.5,32
Drill,97,1,8.25,2.92,5.17,0.16,343
Dubbo,98,1,1.81,1.31,0.48,0.02,4257
Eagle,99,1,19.71,0.43,19.08,0.2,51
Empire-db,101,1,1.33,0.58,0.5,0.25,12
ESME,102,1,0,0,0,0,0
Falcon,104,1,9.7,0.0,9.37,0.33,43
Felix,105,1,2.3,0.0,1.74,0.56,97
Fineract,106,1,14.74,11.27,3.4,0.07,292
flex-sdk,107,1,1.76,0.36,1.28,0.12,25
Flink,108,1,11.06,4.22,6.33,0.52,2360
Flume,109,1,1.92,0.29,1.21,0.42,214
Fluo,110,1,13.12,12.05,1.0,0.07,42
FreeMarker,111,1,1.53,1.03,0.45,0.05,75
FtpServer,112,1,2.0,0.0,0.8,1.2,5
Geode,113,1,41.53,29.97,11.43,0.14,190
Geronimo,114,1,9.33,0.0,2.33,7.0,3
geronimo-yoko,310,2,2.0,0.0,1.0,1.0,1
Giraph,115,1,3.83,0.0,3.05,0.78,41
Gora,116,1,5.04,3.62,0.8,0.61,56
Griffin,117,1,7.76,0.44,7.32,0.0,87
Groovy,118,1,5.57,2.57,2.95,0.04,385
